cue,label,definition,median_scene_coverage,median_scene_top_disagreement_share,median_scene_top_disagreement_enrichment,top_disagreement_enrichment_ci95_low,top_disagreement_enrichment_ci95_high,fraction_scenes_top_disagreement_enrichment_gt1,median_scene_top_excess_share,median_scene_top_excess_enrichment,top_excess_enrichment_ci95_low,top_excess_enrichment_ci95_high,fraction_scenes_top_excess_enrichment_gt1,median_scene_excess_mass_share,median_scene_mean_excess_enrichment,mean_excess_enrichment_ci95_low,mean_excess_enrichment_ci95_high,pooled_coverage,pooled_top_disagreement_share,pooled_top_disagreement_enrichment,pooled_top_excess_share,pooled_top_excess_enrichment,pooled_excess_mass_share,pooled_mean_excess_enrichment
object_boundary,Object boundary,Valid foreground pixels removed by a 2-pixel binary erosion.,0.04600103577214066,0.11888349081336379,2.649920596252924,2.437427499854957,2.971482649576166,1.0,0.09387966484939336,2.0232377787956803,1.7962784470821704,2.1708640794794345,0.975,0.05888546067236487,1.154801331305506,1.1010824661809373,1.2859587808854935,0.04508555425434891,0.1214941933814253,2.6947476944836732,0.09230542166725973,2.047339179785198,0.04749246444631209,1.053385396537096
rgb_edge,RGB edge,Top 10% grayscale Sobel-gradient magnitude among valid foreground pixels in each frame.,0.10003942213348717,0.12218742168038477,1.2213495044901141,1.1264334636034734,1.397549547871204,0.75,0.11962737941554122,1.1958930015996208,1.0907698888538828,1.2966848265608877,0.75,0.10281879685413223,1.0275889112075687,1.011608112682001,1.0539494252689257,0.10003768782329892,0.12753746933243892,1.2748942134459775,0.12233100705375187,1.2228492052898168,0.1025726633668805,1.0253402052640324
corner,Harris corner,"Top 10% positive Harris corner response among valid foreground pixels in each frame (k=0.04, Gaussian sigma=1.5).",0.08293881209027176,0.08931437382447453,1.1188425053995354,0.9033072812851081,1.2447561895041743,0.6,0.09047166651622424,1.1104245746023755,0.9299479879497853,1.2411128399668896,0.575,0.08474847483714887,1.0123452264274917,1.00504301806976,1.0344559134597566,0.07638915353727962,0.08811135070069312,1.1534536857735018,0.08982435000093641,1.1758783261958796,0.08331979441371294,1.0907280753287965
low_texture,Low texture,Bottom 20% local grayscale standard deviation (9x9 window) among valid foreground pixels in each frame.,0.2000398048758374,0.1728432004723478,0.8640053185923823,0.7519036837133758,1.1014306998888765,0.375,0.17445636200989956,0.8721515876123204,0.7613738847178704,0.9937092053383252,0.35,0.19870177933047584,0.9932446142469796,0.9732006505249065,1.003480056130703,0.20003819239985082,0.18120133839110442,0.9058337121388602,0.17781630790656971,0.8889117911600481,0.19599292569969332,0.9797775282228528
high_texture,High texture,Top 20% local grayscale standard deviation (9x9 window) among valid foreground pixels in each frame.,0.20003537232089097,0.25102618468040977,1.2547705608550415,1.0781388056352272,1.424445088472881,0.825,0.23947563552758555,1.1971123188204222,1.1147602054347554,1.3776394656768152,0.85,0.20498978088561692,1.024815166853943,1.0052253632789263,1.034960896133441,0.2000338066289777,0.2529591749000165,1.2645821182076722,0.24651749732270703,1.2323791736861118,0.20270958655850863,1.0133766385523721
thin_structure,Thin/protrusion heuristic,"Valid pixels surviving 2-pixel erosion but removed by radius-4 disk binary opening; a morphology heuristic for narrow protrusions/structures, not a semantic label.",1.1411841792157406e-05,1.9565914068274413e-05,2.1378281110348647,1.3913346194844052,2.8557747096379,0.7777777777777778,1.297850246126535e-05,1.6123898874467293,0.9673291020199503,2.5345782551479292,0.6666666666666666,1.2154540237695758e-05,0.9060878976455382,0.7449521929215397,1.2556101546275626,4.705123121149597e-05,9.555680032416953e-05,2.0309096672654605,8.491573124575421e-05,1.804750461556612,4.211058061587651e-05,0.8949942335533971
high_depth_gradient,High GT depth gradient,"Top 10% GT log-depth gradient magnitude, using only pixels whose left/right/up/down depth neighbors are all valid.",0.03574833839157887,0.05351623600878304,1.3512521460193607,1.27379642863023,1.5268645048285667,0.9,0.05104586276016817,1.3891734618573621,1.2283817469424856,1.5351688411192392,0.9,0.038110757930787345,1.0035208832689084,0.9887339860858001,1.0516124752363845,0.0354736370674113,0.051373591760918165,1.4482189030488146,0.051245260467832475,1.4446012505131636,0.03137847096726956,0.8845574787733321
smooth_flat,Smooth/flat interior,2-pixel-eroded object interior that is low-texture and lies in the bottom 50% valid GT log-depth gradient magnitude.,0.027853935640036506,0.015194103122845165,0.5897418602493556,0.42247033669150014,0.672784003191014,0.05,0.015612210123793071,0.7166373257821504,0.6053778213016567,0.7675618662559847,0.15,0.026171498346652694,0.9884068719692486,0.9578167109822984,1.0243816002267625,0.029211469480634033,0.017271412810485113,0.5912545009738496,0.02074997829221908,0.7103366814865455,0.025511675806400385,0.8733444862578223
