method,psnr_db,mae,fixed_holdout_frame,dropped_frame,dropped_frame_confidence,gt,render
W3A3 raw,13.978377694400951,0.16112569693082984,6,,,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/bottle_confidence_replication_20260914/w3a3_raw_model/test/ours_3000/gt/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/bottle_confidence_replication_20260914/w3a3_raw_model/test/ours_3000/renders/00000.png
W3A3 + corrector,13.409497422663135,0.17639296283402575,6,,,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/bottle_confidence_replication_20260914/w3a3_corrector_model/test/ours_3000/gt/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/bottle_confidence_replication_20260914/w3a3_corrector_model/test/ours_3000/renders/00000.png
W3A3 + confidence,12.520765565066906,0.19818236522756172,6,5,0.9045687913894653,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/bottle_confidence_replication_20260914/w3a3_confidence_model/test/ours_3000/gt/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/bottle_confidence_replication_20260914/w3a3_confidence_model/test/ours_3000/renders/00000.png
W3A3 + corr. + conf.,12.233385828719573,0.2080413027153885,6,5,0.9045687913894653,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/bottle_confidence_replication_20260914/w3a3_corrector_confidence_model/test/ours_3000/gt/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/bottle_confidence_replication_20260914/w3a3_corrector_confidence_model/test/ours_3000/renders/00000.png
