study,N,method,psnr_db,ssim,lpips,mae,gt,render
cup,9,W3A3 + confidence,14.485069598126344,0.5229930281639099,0.48670676350593567,0.12380091688827878,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N09/models/w3a3_confidence/test/ours_3000/gt/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N09/models/w3a3_confidence/test/ours_3000/renders/00000.png
cup,9,W3A3 + corr. + conf.,14.222711106626518,0.5273132920265198,0.46513456106185913,0.12471370953266693,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N09/models/w3a3_corrected_confidence/test/ours_3000/gt/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N09/models/w3a3_corrected_confidence/test/ours_3000/renders/00000.png
cup,12,Full VGGT,15.885187059461586,0.7172243595123291,0.3396058678627014,0.08764111484685573,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N12/models/full/test/ours_3000/gt/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N12/models/full/test/ours_3000/renders/00000.png
cup,12,W4A4,15.074246234688836,0.6216869950294495,0.38770541548728943,0.10279103696119583,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N12/models/w4a4/test/ours_3000/gt/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N12/models/w4a4/test/ours_3000/renders/00000.png
cup,12,W3A3 raw,15.233202239058652,0.5266296863555908,0.5083268284797668,0.10796609460013125,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N12/models/w3a3_raw/test/ours_3000/gt/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N12/models/w3a3_raw/test/ours_3000/renders/00000.png
cup,12,W3A3 + corrector,15.175578933021782,0.5324810147285461,0.49838823080062866,0.10804881575596294,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N12/models/w3a3_corrected/test/ours_3000/gt/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N12/models/w3a3_corrected/test/ours_3000/renders/00000.png
cup,12,W3A3 + confidence,15.173491524444685,0.5215916633605957,0.5131019353866577,0.10889955786190436,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N12/models/w3a3_confidence/test/ours_3000/gt/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N12/models/w3a3_confidence/test/ours_3000/renders/00000.png
cup,12,W3A3 + corr. + conf.,15.407226446351046,0.5354045033454895,0.4880008101463318,0.10616530122256132,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N12/models/w3a3_corrected_confidence/test/ours_3000/gt/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N12/models/w3a3_corrected_confidence/test/ours_3000/renders/00000.png
bottle,6,W3A3 raw,13.97837746793435,0.6203066110610962,0.6451007127761841,0.1611257026815931,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/bottle_confidence_replication_20260914/w3a3_raw_model/test/ours_3000/gt/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/bottle_confidence_replication_20260914/w3a3_raw_model/test/ours_3000/renders/00000.png
bottle,6,W3A3 + corrector,13.40949719410581,0.6154326796531677,0.6291164755821228,0.1763929693437957,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/bottle_confidence_replication_20260914/w3a3_corrector_model/test/ours_3000/gt/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/bottle_confidence_replication_20260914/w3a3_corrector_model/test/ours_3000/renders/00000.png
bottle,6,W3A3 + confidence,12.520765305294796,0.6149885058403015,0.6738146543502808,0.1981823723323732,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/bottle_confidence_replication_20260914/w3a3_confidence_model/test/ours_3000/gt/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/bottle_confidence_replication_20260914/w3a3_confidence_model/test/ours_3000/renders/00000.png
bottle,6,W3A3 + corr. + conf.,12.233385569787124,0.614643931388855,0.6390435099601746,0.2080413101993266,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/bottle_confidence_replication_20260914/w3a3_corrector_confidence_model/test/ours_3000/gt/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/bottle_confidence_replication_20260914/w3a3_corrector_confidence_model/test/ours_3000/renders/00000.png
