variant,load_seconds,median_forward_seconds,mean_forward_seconds,min_forward_seconds,loaded_allocated_mib,loaded_reserved_mib,peak_allocated_mib,peak_reserved_mib,repetitions,input_frames,gpu,error
full_vggt,7.9275473809993855,1.1231448930011538,1.123081570333549,1.1216750130006403,4798.52783203125,4828.0,9892.95361328125,12896.0,3,6,NVIDIA RTX 4000 Ada Generation,
w4a4,19.965890270999807,2.192860011000448,2.194275275000109,2.191206098999828,8461.12158203125,8582.0,15381.40966796875,18116.0,3,6,NVIDIA RTX 4000 Ada Generation,
w3a3,18.24174619599944,2.1902004550011043,2.1904770960002984,2.189593742999932,8461.12158203125,8582.0,15381.40966796875,18116.0,3,6,NVIDIA RTX 4000 Ada Generation,
