method,psnr_mean,psnr_std,psnr_worst,ssim_mean,ssim_std,ssim_worst,lpips_mean,lpips_std,lpips_worst,mae_mean,mae_std,mae_worst
Full VGGT,21.28798388943096,3.4402742551349488,16.661566836015606,0.720584491888682,0.007581769146743176,0.7146391272544861,0.31976279616355896,0.02278825344395538,0.3441535532474518,0.05569728939947157,0.01997579088298033,0.08253673554758763
W4A4,19.230263274014785,2.750904207199587,15.344184512510656,0.6021492083867391,0.01685862874845053,0.585513710975647,0.3867765963077545,0.013408936051550475,0.3974803686141968,0.06879280298851714,0.020959202902885766,0.09816741001535281
W3A3 raw,18.045302235080666,1.9449716880038244,15.29469689922059,0.511607825756073,0.03589738273559617,0.4630746841430664,0.5140522221724192,0.03582857196405427,0.5527767539024353,0.08084357907269048,0.01921567571712453,0.10738803522939573
W3A3 + corrector,18.013303645516263,2.467920849892273,14.573813923320797,0.5163704454898834,0.01398671349461274,0.49760034680366516,0.4858040511608124,0.02511852690095255,0.510542094707489,0.08106827079594121,0.022569102879327136,0.11295596973803171
W3A3 + confidence,17.623688373571305,1.9226144547916182,14.910804143508722,0.49815330902735394,0.027415485658215697,0.4597351551055908,0.5017608404159546,0.032998057818904976,0.53456050157547,0.08520795457373669,0.018318866966360037,0.11101404381253589
W3A3 + corr. + conf.,18.161017443030843,2.3417284710378614,14.849573022406844,0.5225268205006918,0.02179427530034852,0.49457693099975586,0.48740072051684064,0.027541693898100923,0.5193917751312256,0.08099576881588706,0.020604435638789723,0.1100142524871474
