N,tag,method,psnr_db,mae,number_of_3dgs_test_views,fixed_target_gt,fixed_target_render,model_dir
9,N09,W4A4,12.316848780424374,0.16982478406507479,2,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N09/models/w4a4/test/ours_3000/gt/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N09/models/w4a4/test/ours_3000/renders/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N09/models/w4a4
9,N09,W3A3 raw,13.121849416286562,0.15796854899739296,2,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N09/models/w3a3_raw/test/ours_3000/gt/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N09/models/w3a3_raw/test/ours_3000/renders/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N09/models/w3a3_raw
9,N09,W3A3 + corrector,12.759093959862673,0.16222749630653333,2,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N09/models/w3a3_corrected/test/ours_3000/gt/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N09/models/w3a3_corrected/test/ours_3000/renders/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N09/models/w3a3_corrected
9,N09,W3A3 + confidence,14.48506973304884,0.12380091554518077,1,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N09/models/w3a3_confidence/test/ours_3000/gt/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N09/models/w3a3_confidence/test/ours_3000/renders/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N09/models/w3a3_confidence
9,N09,W3A3 + corr. + conf.,14.22271123311019,0.12471370822495056,1,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N09/models/w3a3_corrected_confidence/test/ours_3000/gt/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N09/models/w3a3_corrected_confidence/test/ours_3000/renders/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N09/models/w3a3_corrected_confidence
12,N12,Full VGGT,15.88518716166504,0.08764111439559996,2,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N12/models/full/test/ours_3000/gt/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N12/models/full/test/ours_3000/renders/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N12/models/full
12,N12,W4A4,15.074246364145285,0.1027910360638046,2,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N12/models/w4a4/test/ours_3000/gt/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N12/models/w4a4/test/ours_3000/renders/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N12/models/w4a4
12,N12,W3A3 raw,15.23320237163686,0.10796609366902342,2,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N12/models/w3a3_raw/test/ours_3000/gt/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N12/models/w3a3_raw/test/ours_3000/renders/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N12/models/w3a3_raw
12,N12,W3A3 + corrector,15.175579069068224,0.10804881485099517,2,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N12/models/w3a3_corrected/test/ours_3000/gt/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N12/models/w3a3_corrected/test/ours_3000/renders/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N12/models/w3a3_corrected
12,N12,W3A3 + confidence,15.173491659788795,0.1088995569009196,2,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N12/models/w3a3_confidence/test/ours_3000/gt/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N12/models/w3a3_confidence/test/ours_3000/renders/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N12/models/w3a3_confidence
12,N12,W3A3 + corr. + conf.,15.407226586810715,0.10616530030565914,2,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N12/models/w3a3_corrected_confidence/test/ours_3000/gt/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N12/models/w3a3_corrected_confidence/test/ours_3000/renders/00000.png,/var/tmp/atep12oh/QuantSplat_Integrated/outputs/wcup_viewcount_20260914/N12/models/w3a3_corrected_confidence
