auc_top10_eQ,auc_top10_excess,category,delta_error_median,disagreement_median,excess_error_median,fraction_quant_worse,frame,full_error_median,group_id,n,quant_error_median,rho_d_delta,rho_d_eQ,rho_d_excess,sampled_pixels,scene_radius,sequence,top10_precision_eQ,top10_precision_excess,top10_quant_worse_fraction,valid_pixels
0.6726813333333334,0.9543515555555555,toytruck,0.045691460734914896,0.08154332886432196,0.045691460734914896,0.9266,1,0.06975959686540606,g0000,5000,0.11483848856159948,0.6789948550957942,0.4903051228122049,0.6802234426445327,5000,2.318862406694102,190_20494_39385,0.348,0.62,0.956,6032
0.5205591111111111,0.8594182222222222,toytruck,0.02014768876037616,0.039244699105241226,0.02014768876037616,0.9322,33,0.08082225230115969,g0000,5000,0.0997345029641068,0.22477363071894524,-0.04427188919487557,0.22756857073453185,5000,2.318862406694102,190_20494_39385,0.236,0.32,0.768,8387
0.7300835555555556,0.8121586666666667,toytruck,0.041003397038279224,0.10820825881850281,0.041003397038279224,0.8502,66,0.08284303157125886,g0000,5000,0.12811125787826327,0.7359026917081076,0.6899614514384581,0.737391218323746,5000,2.318862406694102,190_20494_39385,0.42,0.206,0.994,14809
0.7232391111111112,0.9610911111111111,toytruck,0.06819646833915037,0.08804827259947354,0.06819646833915037,0.9956,105,0.1299433604529832,g0000,5000,0.20043835865235587,0.7878062209202489,0.6888806878112275,0.787806667349202,5000,2.318862406694102,190_20494_39385,0.314,0.608,0.998,13793
0.6355471111111111,0.9396146666666667,toytruck,0.022226194652658883,0.05807488007370318,0.022226194652658883,0.7418,137,0.05700431898265317,g0000,5000,0.07558424603434974,0.41045184806607393,0.15581021346440854,0.45722424881177554,5000,2.318862406694102,190_20494_39385,0.282,0.464,0.574,7917
0.738556,0.9142173333333333,toytruck,0.019565364411960235,0.05996027508106611,0.019565364411960235,0.6126,171,0.05193782374376932,g0000,5000,0.07290301565308732,0.5009894419915777,0.36013900752556033,0.5430297927777722,5000,2.318862406694102,190_20494_39385,0.334,0.472,0.85,8482
0.6807062222222222,0.9938244444444444,toytruck,0.10106547973301391,0.11343110018969843,0.10106547973301391,0.9936,2,0.08539005779573708,g0001,5000,0.19065312734816245,0.8573551201182048,0.5138152209686089,0.8573616157128314,5000,2.318862406694102,190_20494_39385,0.26,0.87,0.998,6027
0.5869151111111112,0.9282786666666667,toytruck,0.06095827709873052,0.07719510913632141,0.06095827709873052,0.9896,34,0.09176443807004049,g0001,5000,0.15626646920260295,0.6526998177559927,0.4383047733721909,0.6527371635100887,5000,2.318862406694102,190_20494_39385,0.304,0.456,0.928,8382
0.7417404444444444,0.9306888888888889,toytruck,0.014624790149074265,0.10153843073341862,0.014624790149074265,0.6074,68,0.07901230165983976,g0001,5000,0.10719016317118638,0.6071091118043644,0.6191405565096223,0.6464535687172803,5000,2.318862406694102,190_20494_39385,0.298,0.444,0.894,14881
0.7283151111111111,0.9822875555555556,toytruck,0.12436794242435296,0.13088866464224352,0.12436794242435296,0.9994,106,0.15922880035672282,g0001,5000,0.2895750024851427,0.8890329421853177,0.5945083217003329,0.8890329277746643,5000,2.318862406694102,190_20494_39385,0.264,0.782,1.0,13497
0.38656666666666667,0.8850146666666666,toytruck,0.011405931022933722,0.05143982375795359,0.011405931022933722,0.6158,138,0.050381790316069125,g0001,5000,0.06474559766226907,0.1009950401358016,-0.02235171679806867,0.18133120868521374,5000,2.318862406694102,190_20494_39385,0.172,0.354,0.49,9963
0.7130631111111111,0.9603933333333333,toytruck,0.07701116518339135,0.1161400783838172,0.07701116518339135,0.8664,172,0.053608596025457714,g0001,5000,0.13180885995788735,0.6407794583031783,0.4860137851685514,0.6483304739215131,5000,2.318862406694102,190_20494_39385,0.3,0.604,0.892,12035
0.7655262222222222,0.9957773333333333,toytruck,0.08612261919565435,0.10316958049639055,0.08612261919565435,0.983,3,0.07678928302664738,g0002,5000,0.1641602927865919,0.8482592628903706,0.6716098309283932,0.848341560606829,5000,2.318862406694102,190_20494_39385,0.492,0.908,0.996,5897
0.7714911111111111,0.9734453333333334,toytruck,0.06003057833089041,0.0695883490746331,0.06003057833089041,0.9796,35,0.07772184048196701,g0002,5000,0.14160371929666526,0.7449259277170371,0.6516007422240296,0.7451724620334927,5000,2.318862406694102,190_20494_39385,0.314,0.718,0.88,8289
