auc_top10_eQ,auc_top10_excess,boundary_excess_enrichment,camera_alignment_warning_fraction,camera_alignment_warning_group_ids,camera_alignment_warning_groups,category,delta_error_median,disagreement_median,excess_error_median,fraction_quant_worse,full_camera_center_max,full_camera_center_median,full_camera_rotation_max_deg,full_camera_rotation_median_deg,full_error_median,groups,gt_depth_to_pointcloud_median_fraction_radius,high_depth_gradient_excess_enrichment,interior_excess_enrichment,primary_frames,quant_error_median,rho_d_delta,rho_d_eQ,rho_d_excess,sampled_pixels,scene_radius,sequence,smooth_excess_enrichment,top10_precision_eQ,top10_precision_excess,top10_quant_worse_fraction,w4a4_camera_center_max,w4a4_camera_center_median,w4a4_camera_rotation_max_deg,w4a4_camera_rotation_median_deg
0.8012522111878175,0.9411100600321916,1.0460805529194035,0.0,,0,toytruck,0.043785152956843376,0.08210331946611404,0.043785152956843376,0.8024808510638298,0.18310988705337025,0.054177539113632316,3.2572373949035893,1.3356521376506179,0.07561204582452774,32,0.003501312614518022,0.8951165948575274,0.9970902011831614,188,0.12058884277939796,0.5402653520614187,0.5188656354180776,0.5584369599879158,940000,2.318862406694102,190_20494_39385,0.9763375522008205,0.3919042553191489,0.5107234042553191,0.8751595744680851,0.318681872797126,0.08698678784580197,7.986183575136726,1.8711379794778638
0.745477576750428,0.9503592222627146,1.3740249225608372,0.0,,0,bench,0.013707030564546585,0.02980440855026245,0.013707030564546585,0.7760285714285714,0.10145420154341799,0.03647936077536381,1.1958560848228241,0.358187547572847,0.03702189400792122,33,0.0018040372329483762,1.073664318054365,0.9840778164271714,196,0.05118262395262718,0.49480727615823883,0.37215364161126796,0.5205738035890205,980000,2.264437963913851,415_57112_110099,1.0089413796375841,0.29189795918367345,0.5700306122448979,0.8565,0.15129309319891773,0.036875043406345384,1.8508449659808597,0.529055732357421
0.5544408431199556,0.7334581091995338,1.572946328405651,0.0,,0,toaster,-0.00865461677312851,0.058861080557107925,0.0,0.39885445544554454,0.23632285164211275,0.07824856095429164,2.2221597666077657,1.1855014362347556,0.12377378717064857,34,0.0030854489704507477,1.073520448649192,0.9709935745355375,202,0.11783589795231819,-0.11617347155013237,-0.07597865451969646,0.059224403726256696,1010000,2.4344105131840132,372_41229_82130,0.9485445870983507,0.17502970297029702,0.24846534653465346,0.46450495049504953,0.2262582352014288,0.08887601425146463,2.6564894747694856,1.1539264507334073
0.6958033404131098,0.8021058109603328,0.9414690573977222,0.0,,0,donut,0.0005318485200405121,0.14371146261692047,0.0005318485200405121,0.5022909090909091,0.27911044392040135,0.063962421402438,5.302929325575261,2.2407650501843026,0.18425659835338593,33,0.0025771343278946004,0.9889722322810219,1.002335497578572,198,0.18619244545698166,0.07483188216113387,0.24297296310077618,0.204620860415599,990000,2.468057284031467,391_47032_93657,0.9556521459493008,0.3398080808080808,0.3304040404040404,0.6824848484848485,0.2512697955542048,0.08286571403969642,5.496201846191062,2.5076193280299224
0.8653433218747617,0.9535807298358548,1.0966816259896095,0.0,,0,remote,0.06049850210547447,0.09485132992267609,0.06049850210547447,0.9088584158415841,0.105735579774633,0.04775739261609493,2.337048595766823,0.9143071063518149,0.084776122123003,34,0.0027109021980333443,0.9884957398905783,0.9936998596936738,202,0.144497849047184,0.742331808014473,0.6720017979644051,0.7444166561437795,1010000,2.79754661311508,350_36761_68623,1.0024683473344658,0.44245544554455446,0.5796435643564356,0.9867524752475247,0.20281482675568982,0.08074812831749704,5.584359555176884,1.759860991744948
0.7387601771737557,0.9473182527367863,1.1530324123467985,0.0,,0,orange,0.033222027122974396,0.15164075046777725,0.033222027122974396,0.624746875,0.2852454358890807,0.07575972557283692,6.1614071736646245,2.2757175349786696,0.21220619976520538,32,0.0025119854212313046,1.0672582510286757,0.9976114489588861,192,0.2567822337150574,0.3364659168484814,0.45285239805707056,0.4033751907451382,960000,2.5940627677135715,385_45386_90752,0.9661862920247308,0.4431875,0.6355833333333333,0.830875,0.39559070204344776,0.10364094603163057,7.695444170436099,3.0015814243420884
0.6383868911094537,0.9029303222335365,1.017072079266874,0.0,,0,broccoli,0.040264397859573364,0.08717168867588043,0.040264397859573364,0.7763959637876664,0.15158918747601322,0.05278326929791513,2.8935918364553865,1.1869911419227863,0.11016803979873657,34,0.0035332656074725105,0.9980729156697126,0.9992535218100125,202,0.15620365738868713,0.40840695727853776,0.33959265692064555,0.43082064692040967,996677,2.3621089913247904,412_56288_108844,1.0371826501250616,0.1832784845687683,0.42525183609583816,0.7403379219007103,0.23106355093186384,0.09433091720002461,3.037377074161876,1.777992018006244
0.7198048371891644,0.7964502627520178,1.1935887236893434,0.0,,0,suitcase,-0.03195499628782272,0.19854381680488586,0.0,0.37347128712871286,0.10029054783389119,0.033993531647927844,3.702491062547389,1.8236737526873106,0.22068963199853897,34,0.0021137053882509136,1.0072028910761666,0.9941743019187194,202,0.19734155386686325,0.3210689706409345,0.3278461976534787,0.47059578856526385,1010000,2.7164928371084445,50_2928_8645,1.0543061070063904,0.3066138613861386,0.206,0.6986138613861386,0.13573120653407444,0.0392706220071386,4.895299496992165,2.1895093833491925
0.7847632864901444,0.9294489198940322,1.0343306659006728,0.058823529411764705,g0000;g0013,2,donut,0.045291468501091,0.09107426181435585,0.045291468501091,0.763019604786538,0.4605677345312331,0.13208745794194937,2.6371742214636007,1.1565461728512711,0.18429480493068695,34,0.0033121497086087107,0.9214107388782806,0.9983840969561171,201,0.22558066993951797,0.46352449378871935,0.2934044713147604,0.4936914712635416,975068,2.367894988981486,403_52964_103416,0.9289882723941149,0.336714287179382,0.4977591352415724,0.7678525644312716,0.40183994066449114,0.1631139694151999,3.256008030218107,1.4673971547967668
0.8015001691827599,0.8884603302780774,1.2188864911163748,0.0,,0,teddybear,0.026280373334884644,0.07944381237030029,0.026280373334884644,0.7125683168316832,0.13243148076337657,0.05610364204295941,3.840346160101537,0.8499667358708003,0.08360756933689117,34,0.002506680502452059,0.968784671721507,0.9919856043560058,202,0.10931108146905899,0.43082274185513814,0.45742420992268623,0.46528410775446977,1010000,2.572643217375873,187_20215_38541,0.9754569324073735,0.4352079207920792,0.43147524752475247,0.8681485148514851,0.2195041673999739,0.08345250379490751,3.8273067611094187,1.4708368725891439
