boundary_excess_mean,boundary_excess_median,boundary_pixels,category,d_max,d_mean,d_median,d_p90,d_p95,discontinuity_excess_mean,discontinuity_excess_median,discontinuity_pixels,eExcess_max,eExcess_mean,eExcess_median,eExcess_p90,eExcess_p95,eF_max,eF_mean,eF_median,eF_p90,eF_p95,eQ_max,eQ_mean,eQ_median,eQ_p90,eQ_p95,frame,interior_excess_mean,interior_excess_median,interior_pixels,radius,rho_d_eExcess,rho_d_eQ,sequence,smooth_excess_mean,smooth_excess_median,smooth_pixels,top10_excess_precision,top10_excess_recall,valid_pixels
0.03276790248998133,0.026506558060500215,475,toytruck,0.4991614805176759,0.06130350728056294,0.05829969215671392,0.09300784665924644,0.10516599884102049,0.03876612411563575,0.03131403662852993,604,0.49833841693621894,0.0398831394468277,0.0410559385227727,0.07478093699349873,0.09052393723122058,2.2477354292484377,0.03940960353315915,0.02777168195762328,0.07001238850764457,0.09445453531634829,2.106114850205762,0.07644861492267913,0.06987308613681789,0.11677702140171298,0.14131858402665162,1,0.04049133407603447,0.04162212115519912,5557,2.318862406694102,0.576984152463979,0.5239053938130952,190_20494_39385,0.040007435183754735,0.04175854920246,5428,0.6225165562913907,0.6225165562913907,6032
0.05367082073428793,0.05472593345176595,743,toytruck,0.26950020159558463,0.06260138537804481,0.058943738587175436,0.09074595095418195,0.10454666296302502,0.041491193951692366,0.03610277241125667,935,0.25973601222282605,0.04646171841405985,0.04570938924129371,0.08031169883472274,0.08968057033049022,0.6756294348341575,0.0699717467121065,0.05725252775025265,0.11426436263150645,0.15898251227694837,0.6448675371627173,0.1141169702240404,0.10607691682291538,0.17718597988212037,0.2177798445916705,41,0.04583903031548632,0.04529980727453415,8602,2.318862406694102,0.8045986119198885,0.6220210907296373,190_20494_39385,0.04701432725737894,0.046423690241923804,8410,0.7368983957219252,0.7368983957219252,9345
0.029913923802238996,0.021207546506770494,795,toytruck,0.9803524567565151,0.08213042141448525,0.07874102417188422,0.1285037928315248,0.13692792975685844,0.032135258415657134,0.011472614926046898,1697,0.5634601983212691,0.036074269123103644,0.024997112856889173,0.09661519937520364,0.10696872225403892,2.4525169483238143,0.08838750029466565,0.06788426156778762,0.14323965426832902,0.1921023427227209,2.3316953412432238,0.1168171612015324,0.10946538618586973,0.17287633660782717,0.20892459018513457,75,0.03637718070957614,0.025264411863930258,16168,2.318862406694102,0.646443050820182,0.5138103454403978,190_20494_39385,0.03651213766565157,0.025919149582818116,15266,0.5138479670005893,0.5138479670005893,16963
0.07727486458234048,0.06950844935832523,708,toytruck,0.848820317215008,0.08699432180898894,0.07960760469533537,0.12461162895402941,0.14573081740981403,0.06867186978432886,0.06440028245040275,865,0.28706195701090687,0.0699419976216401,0.0667836969675503,0.11932337369562207,0.14067056303059902,1.7220126393010897,0.07490140760727525,0.05515786963691301,0.12897572532615478,0.175782162871435,1.6324933882254793,0.14368704661420714,0.11916580199489037,0.24240692240580566,0.30081984596490635,123,0.0692882995848514,0.06663055870389487,7942,2.318862406694102,0.6828261943312144,0.45798230172494464,190_20494_39385,0.0700831229368969,0.0670294774988789,7785,0.8578034682080925,0.8578034682080925,8650
0.03758873668604669,0.034820171477955325,568,toytruck,1.074863805565686,0.03807631250601725,0.037523120211674,0.05155349904402993,0.059671611475742174,0.02600147466302414,0.025421583291058585,894,1.074841931709742,0.02499372452954153,0.029148984069829985,0.04608165330513557,0.050392530500636565,1.1431989435203054,0.06500476338786447,0.05529159807635925,0.10278637949957245,0.122090856711843,1.4984890407173714,0.08750267348059868,0.07817365910590732,0.12547455436828298,0.14925490121320478,162,0.024139213432444663,0.028740147588352905,8372,2.318862406694102,0.7691252961116477,0.4487495878415975,190_20494_39385,0.024881752292487902,0.029555576939282006,8046,0.6442953020134228,0.6442953020134228,8940
0.03879437755901356,0.03725173395450944,684,toytruck,0.9142131987919236,0.05642127333195796,0.05453342653822307,0.07599918849038459,0.0848876952666968,0.03584774251744188,0.037847265213318174,1571,0.18994827901387146,0.035558529476603346,0.03785398747124667,0.05970719473292443,0.06862955966484723,1.228975909413716,0.06990376208275219,0.05413987618838301,0.1249625298374138,0.16634758764122015,0.9190843517207744,0.10416587320115085,0.08932310161435568,0.15766550643614882,0.20405823140985224,202,0.03541116147018691,0.03788530387726151,15019,2.318862406694102,0.49235012894042746,0.4881753620532063,190_20494_39385,0.03552637877697433,0.03785444901992372,14132,0.521323997453851,0.521323997453851,15703
0.01576145617406412,0.015111121315551323,1164,bench,0.3554297728714356,0.030703467467581656,0.03111176337098438,0.036787546408464024,0.038736796409181797,0.008345068793818869,0.006062938696843363,1851,0.3507089969209309,0.014346988366552127,0.014003039046106598,0.02638263835718014,0.028036568214807774,1.2872356877449802,0.015419782076388824,0.009790455262478324,0.02124249638574939,0.026421704466258116,1.2440907435167465,0.029236153594626207,0.025935780292707076,0.034314533635340906,0.03730301269827735,1,0.014251548071615952,0.013961779033704344,17251,2.264437963913851,0.44154238453185485,0.6847192783975254,415_57112_110099,0.015017693095429769,0.014792565880575382,16564,0.36210640608034744,0.36210640608034744,18415
0.024646440619357297,0.014306152927349823,856,bench,0.6522901853998025,0.04128553673196899,0.041024587766395115,0.060780775441341375,0.06786364666378067,0.029806968622629514,0.031810855936142655,2196,0.4985099995460182,0.02590420311122559,0.022800243374626564,0.05163720102210928,0.05768355071543483,1.8745554386622627,0.023196419249791513,0.018249549252825032,0.03171620543102637,0.0369197106455029,1.8619090485098941,0.04832045814403914,0.04029707688436346,0.07691098695882476,0.0869781461885974,41,0.025955702426878478,0.023458236227413318,20906,2.264437963913851,0.7957185589275055,0.7479455961926695,415_57112_110099,0.02546617423138081,0.02086262911197581,19566,0.6348185576481397,0.6348185576481397,21762
0.0036183543338592825,0.0,659,bench,1.662084628411524,0.037125535590191605,0.035848085250734185,0.04595624884379318,0.04812057958996649,0.006486017718723673,0.0,1396,0.5861795917742377,0.000918031071589996,0.0,0.0,0.0,2.389108224582031,0.07076836411792747,0.06692652133637329,0.08210144720720766,0.08906190581079633,2.358573708225122,0.046034148355757774,0.03866972912477018,0.06914785669077556,0.0793379515000858,81,0.0007840013186461488,0.0,13277,2.264437963913851,-0.22123425979040226,-0.6389361329311709,415_57112_110099,0.0002981818403779855,0.0,12540,1.0,0.10002870264064294,13936
0.04366843032845982,0.01305719858669337,749,bench,2.5970797780233585,0.032435779117820966,0.0255043948239948,0.03385645632788935,0.039195289141939864,0.04688228545364302,0.014508218363522687,2028,2.595504892618622,0.016002544812791498,0.011114680467013832,0.022957291855879768,0.029494651664438796,3.7684844570295533,0.05916359638964744,0.04177826272869799,0.055822734738472865,0.06179051706672771,3.9835107514328962,0.07269905864646271,0.05371348015201846,0.07405573510014096,0.08659667286775627,122,0.014926313990560502,0.011092140205139548,19254,2.264437963913851,0.629429137757648,0.29237140009044116,415_57112_110099,0.012518588539097649,0.010883927642598844,17975,0.8140929535232384,0.8140929535232384,20003
