category,sequence,full_center_error_median_fraction_gt_radius,quant_center_error_median_fraction_gt_radius,full_error_median,quant_error_median,disagreement_median,excess_error_median,rho_disagreement_quant_error,rho_disagreement_excess_error,auc_top10_quant_error,auc_top10_excess_error,top10_precision_quant_error,top10_precision_excess_error
toytruck,190_20494_39385,0.03561600474985528,0.0756732665391688,0.053365541802454064,0.09065895175811625,0.05854319161468596,0.03958508209107587,0.5356800047552001,0.6268225764812821,0.7719519382716049,0.9693035802469135,0.37933333333333336,0.6593333333333333
bench,415_57112_110099,0.022812122733563298,0.02326151207716623,0.027686270177200867,0.03951275975500036,0.03543586102284273,0.01424449199232384,0.3649949710113277,0.49865827830776016,0.8728047160493827,0.9823144691358024,0.514,0.777
toaster,372_41229_82130,0.041060467854137445,0.05023851181740111,0.13087577026753097,0.11869851878125995,0.0433196035676903,0.0,-0.009951131125279034,0.31653618409540124,0.40705327160493826,0.8262196790123457,0.13366666666666666,0.5586666666666666
