category,sequence,full_psnr_7k,quant_psnr_7k,full_minus_quant_psnr_7k,full_ssim_7k,quant_ssim_7k,full_minus_quant_ssim_7k,full_lpips_7k,quant_lpips_7k,quant_minus_full_lpips_7k,full_psnr_30k,quant_psnr_30k,full_minus_quant_psnr_30k,full_ssim_30k,quant_ssim_30k,full_minus_quant_ssim_30k,full_lpips_30k,quant_lpips_30k,quant_minus_full_lpips_30k
apple,110_13051_23361,11.706671470726855,11.382103901381493,0.324567569345362,0.2668483290407393,0.26191726989216274,0.004931059148576555,0.6189912772840924,0.6198456386725107,0.0008543613884183232,11.57347170680063,11.443190294633059,0.13028141216757128,0.2717292540603214,0.2662084980143441,0.005520756045977293,0.6303002503183153,0.6266579230626425,-0.003642327255672817
apple,189_20393_38136,10.960523794328983,10.46357546095792,0.4969483333710638,0.3836710916625129,0.3924667603439755,-0.008795668681462587,0.6541468252738317,0.6975416607326932,0.04339483545886147,11.21932721254684,10.551861238586547,0.6674659739602937,0.36579835414886475,0.36821690532896256,-0.0024185511800978166,0.6480057769351535,0.6916672587394714,0.04366148180431795
ball,123_14363_28981,10.633158905450479,10.373687619109582,0.2594712863408972,0.26700957285033333,0.2897967216041353,-0.022787148753801945,0.6263488978147507,0.6395482536819246,0.013199355867173912,10.662878792767234,10.293236124743224,0.36964266802401013,0.254562152756585,0.28112685514820945,-0.02656470239162445,0.6221451850401031,0.6393615338537428,0.01721634881363976
ball,375_42693_85518,12.628382994908835,12.465102368024658,0.16328062688417688,0.5895327991909451,0.5826772153377533,0.006855583853191849,0.5647843347655402,0.5818451891342798,0.01706085436873961,12.461239488052122,12.135537875783752,0.3257016122683698,0.547791063785553,0.5396472546789381,0.00814380910661483,0.5723859982358085,0.5841900342040591,0.011804035968250637
bench,415_57112_110099,11.561816037207015,11.255882340924577,0.3059336962824375,0.2827511760923598,0.27562132477760315,0.00712985131475663,0.6502512577507231,0.6579394737879435,0.007688216037220363,12.02981977569999,11.541660062887006,0.4881597128129833,0.26079335312048596,0.25733300546805066,0.0034603476524353027,0.6211779961983362,0.6340529256396823,0.01287492944134605
bench,415_57121_110109,11.142465042829892,11.424965134110115,-0.28250009128022313,0.29642556607723236,0.30616434580749935,-0.009738779730266989,0.6527737677097321,0.657998436027103,0.005224668317370895,11.318556659751142,11.067986795489265,0.2505698642618768,0.28258296847343445,0.293510377407074,-0.010927408933639526,0.633488600452741,0.6499521368079715,0.016463536355230457
book,119_13962_28926,9.33939066005378,9.641654244243192,-0.30226358418941146,0.2174405637714598,0.21823672950267792,-0.0007961657312181292,0.6326145744986005,0.6249576807022095,-0.007656893796391007,9.227926426493475,9.757255135913418,-0.5293287094199428,0.20565172036488852,0.2064171532789866,-0.0007654329140980853,0.6287076638804542,0.6145970986949073,-0.014110565185546875
book,247_26469_51778,11.07254306429701,10.403111666119928,0.6694313981770819,0.302274184094535,0.2938023457924525,0.00847183830208248,0.6776136491033766,0.7121043735080295,0.03449072440465284,11.228206259852545,10.553082101748922,0.6751241581036229,0.2943986803293228,0.27775730192661285,0.01664137840270996,0.6681296643283632,0.700254758199056,0.032125093870692845
bowl,69_5465_12831,9.384624566819953,9.17057465994979,0.214049906870164,0.17356202668613857,0.16966835492187077,0.003893671764267803,0.6681136588255564,0.6685564087496864,0.0004427499241299593,9.458050356601879,9.198296196005403,0.2597541605964757,0.16986576302183998,0.1705145744813813,-0.0006488114595413208,0.6712253822220696,0.6690513292948405,-0.002174052927229164
bowl,70_5792_13401,8.714369643233889,9.981612549007027,-1.2672429057731378,0.3010084165467156,0.30785548355844283,-0.006847067011727215,0.6731212867630852,0.6414633492628733,-0.03165793750021195,8.909773571303768,10.201189402065463,-1.2914158307616947,0.29414637717935777,0.2952253686057197,-0.0010789914263619194,0.6686846945020888,0.6343253784709506,-0.034359316031138176
broccoli,372_41112_81867,9.33848902296888,8.763600520727676,0.5748885022412029,0.24034578767087725,0.23966743714279598,0.0006783505280812674,0.6256973594427109,0.6552291760842005,0.029531816641489628,10.139089272015518,9.369545435535167,0.7695438364803504,0.2220367971393797,0.23179251617855495,-0.009755719039175242,0.6071936935186386,0.6418729457590315,0.03467925224039292
broccoli,412_56288_108844,8.990028329711174,9.030381421415585,-0.040353091704410815,0.4282737506760491,0.38921083013216656,0.03906292054388255,0.6768681969907548,0.6824641956223382,0.005595998631583332,9.294968615795675,9.260942638837669,0.0340259769580058,0.38664483030637103,0.34982891215218437,0.036815918154186666,0.6719977988137139,0.6757171187135909,0.0037193198998769494
cake,374_42274_84517,7.513764581176135,7.324199594386124,0.18956498679001133,0.26841191781891716,0.27644380264812046,-0.008031884829203306,0.6231446050935321,0.6312094943390952,0.008064889245563145,7.605519437099052,7.4976326970374965,0.10788674006155574,0.24096788465976715,0.2520891096856859,-0.011121225025918724,0.6212657491366068,0.6326893303129408,0.011423581176334019
cake,403_53094_103680,11.176702019070763,10.359056356634397,0.8176456624363659,0.30980919467078316,0.29806530641184914,0.011743888258934021,0.6494280629687839,0.6776547431945801,0.02822668022579622,11.19202655795984,10.667907467829199,0.5241190901306414,0.3083803885512882,0.28984752628538346,0.018532862265904726,0.6474869317478604,0.6702986690733168,0.022811737325456383
donut,391_47032_93657,8.298858460762956,8.125419265376854,0.17343919538610209,0.28792686719680205,0.3001326654985961,-0.012205798301794024,0.8373050027423434,0.8438634276390076,0.006558424896664139,8.004176666779133,7.718663616656013,0.2855130501231198,0.24592949167385492,0.2430700899826156,0.002859401691239327,0.8382103012667762,0.8465553522109985,0.008345050944222332
donut,403_52964_103416,11.180030638839908,11.498128850790415,-0.3180982119505078,0.49928900599479675,0.48870011501842076,0.010588890976375998,0.6462155613634322,0.6375189224878947,-0.00869663887553751,11.27183378566501,11.464406590171503,-0.1925728045064936,0.47120625111791825,0.4548712389336692,0.016335012184249043,0.6532346109549204,0.6491275462839339,-0.004107064670986538
